type,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,longitude,latitude
4,0,0,0,0.009,0.009,0,0.009,0.009,0,0,0.009,0.009,0.009,0,0,0,117.2415945,39.18574978
4,0,0,0,0.01,0.017,0,0.015,0.015,0,0,0.048,0.094,0.111,0.084,0.054,0.024,117.2324295,39.1940549
4,0,0,0,0.01,0.01,0,0.01,0.01,0,0,0.017,0.01,0.01,0,0,0,117.2200933,39.21030843
4,0,0,0,0.009,0.01,0,0.009,0.009,0,0,0.011,0.01,0.01,0,0,0,117.2189488,39.21129422
4,0,0,0,0.009,0.044,0.022,0.05,0.05,0.024,0.001,0.11,0.145,0.169,0.143,0.113,0.083,117.2033341,39.22407633
4,0,0,0,0.024,0.013,0,0.042,0.042,0.012,0,0.108,0.138,0.133,0.091,0.057,0.027,117.1802135,39.24503771
4,0,0,0,0.01,0,0,0.012,0.012,0,0,0.01,0.009,0.009,0,0,0,117.1681367,39.25578478
4,0,0,0,0.01,0,0,0.01,0.009,0,0,0.01,0.009,0.009,0,0,0,117.1559486,39.25684001
4,0,0,0,0.015,0,0,0.018,0.018,0,0,0.062,0.09,0.105,0.076,0.046,0.016,117.146907,39.25363878
4,0,0,0,0.009,0,0,0.009,0.009,0.008,0,0.009,0.005,0,0,0,0,117.1203974,39.24219347
4,0,0,0,0.011,0,0,0.012,0.012,0.009,0,0.01,0.009,0,0,0,0,117.1174178,39.24068441
4,0,0,0,0.023,0.007,0,0.027,0.027,0.067,0.044,0.163,0.222,0.2,0.171,0.141,0.111,117.1141246,39.23873888
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1124452,39.23680447
4,0,0,0,0.009,0,0,0.009,0.009,0.008,0,0.009,0.004,0,0,0,0,117.105443,39.22313015
4,0,0,0,0.018,0,0,0.016,0.016,0.025,0,0.009,0.01,0,0,0,0,117.1031548,39.21715251
4,0,0,0,0.024,0.012,0,0.021,0.021,0.07,0.059,0.123,0.185,0.162,0.132,0.102,0.072,117.1028624,39.21449002
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.01,0,0,0,0,117.1035636,39.20512695
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1030325,39.18982503
4,0,0,0,0.03,0.021,0.002,0.025,0.025,0.1,0.068,0.101,0.132,0.084,0.047,0.015,0,117.1006003,39.18123861
4,0,0,0,0.018,0.035,0.012,0.027,0.027,0.007,0,0.052,0.09,0.071,0.043,0.013,0,117.1949854,39.19282959
4,0,0,0,0.009,0,0,0.01,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1359993,39.18707167
4,0,0,0,0.009,0,0,0.009,0.009,0.01,0,0.009,0.009,0,0,0,0,117.1305778,39.17729709
4,0,0,0,0.009,0,0,0.009,0.009,0.01,0,0.004,0.006,0,0,0,0,117.1297176,39.17131538
4,0,0,0,0.009,0.009,0,0.01,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1765658,39.16109619
4,0,0,0,0.009,0,0,0.01,0.009,0.01,0,0.01,0.009,0,0,0,0,117.1450648,39.20340929
4,0,0,0,0.009,0,0,0.009,0.009,0.01,0,0.01,0.009,0,0,0,0,117.1439114,39.20247152
4,0,0,0,0.018,0,0,0.014,0.014,0.019,0,0.034,0.035,0.001,0,0,0,117.1429167,39.20160428
4,0,0,0,0.009,0,0,0.009,0.009,0.009,0,0.009,0.009,0,0,0,0,117.1394594,39.19973362
4,0,0,0,0.022,0.006,0,0.018,0.018,0.039,0.015,0.063,0.101,0.078,0.049,0.019,0,117.1377821,39.19894341
4,0,0,0,0.01,0,0,0.01,0.009,0.01,0,0.009,0.009,0,0,0,0,117.135721,39.19780518
